Date,NFLX
30/11/2021,641.900024
01/12/2021,617.77002
02/12/2021,616.469971
03/12/2021,602.130005
06/12/2021,612.690002
07/12/2021,625.580017
08/12/2021,628.080017
09/12/2021,611
10/12/2021,611.659973
13/12/2021,604.559998
14/12/2021,597.98999
15/12/2021,605.039978
16/12/2021,591.059998
17/12/2021,586.72998
20/12/2021,593.73999
21/12/2021,604.919983
22/12/2021,614.23999
23/12/2021,614.090027
27/12/2021,613.119995
28/12/2021,610.710022
29/12/2021,610.539978
30/12/2021,612.090027
31/12/2021,602.440002
03/01/2022,597.369995
04/01/2022,591.150024
05/01/2022,567.52002
06/01/2022,553.289978
07/01/2022,541.059998
10/01/2022,539.849976
11/01/2022,540.840027
12/01/2022,537.219971
13/01/2022,519.200012
14/01/2022,525.690002
18/01/2022,510.799988
19/01/2022,515.859985
20/01/2022,508.25
21/01/2022,397.5
24/01/2022,387.149994
25/01/2022,366.420013
26/01/2022,359.700012
27/01/2022,386.700012
28/01/2022,384.359985
31/01/2022,427.140015
01/02/2022,457.130005
02/02/2022,429.480011
03/02/2022,405.600006
04/02/2022,410.170013
07/02/2022,402.100006
08/02/2022,403.529999
09/02/2022,412.890015
10/02/2022,406.269989
11/02/2022,391.309998
14/02/2022,396.570007
15/02/2022,407.459991
16/02/2022,398.079987
17/02/2022,386.670013
18/02/2022,391.290009
22/02/2022,377.380005
23/02/2022,367.459991
24/02/2022,390.029999
25/02/2022,390.799988
28/02/2022,394.519989
01/03/2022,386.23999
02/03/2022,380.029999
03/03/2022,368.070007
04/03/2022,361.730011
07/03/2022,350.26001
08/03/2022,341.76001
09/03/2022,358.790009
10/03/2022,356.769989
11/03/2022,340.320007
14/03/2022,331.01001
15/03/2022,343.75
16/03/2022,357.529999
17/03/2022,371.399994
18/03/2022,380.600006
21/03/2022,374.589996
22/03/2022,382.920013
23/03/2022,374.48999
24/03/2022,375.709991
25/03/2022,373.850006
28/03/2022,378.51001
29/03/2022,391.820007
30/03/2022,381.470001
31/03/2022,374.589996
01/04/2022,373.470001
04/04/2022,391.5
05/04/2022,380.149994
06/04/2022,368.350006
07/04/2022,362.149994
08/04/2022,355.880005
11/04/2022,348
12/04/2022,344.100006
13/04/2022,350.429993
14/04/2022,341.130005
18/04/2022,337.859985
19/04/2022,348.609985
20/04/2022,226.190002
21/04/2022,218.220001
22/04/2022,215.520004
25/04/2022,209.910004
26/04/2022,198.399994
27/04/2022,188.539993
28/04/2022,199.520004
29/04/2022,190.360001
02/05/2022,199.460007
03/05/2022,199.869995
04/05/2022,204.009995
05/05/2022,188.320007
06/05/2022,180.970001
09/05/2022,173.100006
10/05/2022,177.660004
11/05/2022,166.369995
12/05/2022,174.309998
13/05/2022,187.639999
16/05/2022,186.509995
17/05/2022,190.559998
18/05/2022,177.190002
19/05/2022,183.479996
20/05/2022,186.350006
23/05/2022,187.440002
24/05/2022,180.339996
25/05/2022,187.830002
26/05/2022,191.399994
27/05/2022,195.190002
31/05/2022,197.440002
01/06/2022,192.910004
02/06/2022,205.089996
03/06/2022,198.979996
06/06/2022,197.139999
07/06/2022,198.610001
08/06/2022,202.830002
09/06/2022,192.770004
10/06/2022,182.940002
13/06/2022,169.690002
14/06/2022,167.539993
15/06/2022,180.110001
16/06/2022,173.350006
17/06/2022,175.509995
21/06/2022,170.910004
22/06/2022,178.889999
23/06/2022,181.710007
24/06/2022,190.850006
27/06/2022,189.139999
28/06/2022,179.600006
29/06/2022,178.360001
30/06/2022,174.869995
01/07/2022,179.949997
05/07/2022,185.880005
06/07/2022,184.059998
07/07/2022,189.270004
08/07/2022,186.979996
11/07/2022,177.339996
12/07/2022,174.449997
13/07/2022,176.559998
14/07/2022,174.779999
15/07/2022,189.110001
18/07/2022,190.919998
19/07/2022,201.630005
20/07/2022,216.440002
21/07/2022,223.880005
22/07/2022,220.440002
25/07/2022,218.509995
26/07/2022,213.910004
27/07/2022,226.75
28/07/2022,226.020004
29/07/2022,224.899994
01/08/2022,226.210007
02/08/2022,221.419998
03/08/2022,226.729996
04/08/2022,229.910004
05/08/2022,226.779999
08/08/2022,233.490005
09/08/2022,229.940002
10/08/2022,244.110001
11/08/2022,242.699997
12/08/2022,249.300003
15/08/2022,249.110001
16/08/2022,245.690002
17/08/2022,241.149994
18/08/2022,245.169998
19/08/2022,241.160004
22/08/2022,226.539993
23/08/2022,224.550003
24/08/2022,229.610001
25/08/2022,233.979996
26/08/2022,223.279999
29/08/2022,224.570007
30/08/2022,220.649994
31/08/2022,223.559998
01/09/2022,230.039993
02/09/2022,226.110001
06/09/2022,218.389999
07/09/2022,228.960007
08/09/2022,227.440002
09/09/2022,233.570007
12/09/2022,236.529999
13/09/2022,218.130005
14/09/2022,224.119995
15/09/2022,235.380005
16/09/2022,240.130005
19/09/2022,243.630005
20/09/2022,242.850006
21/09/2022,236.869995
22/09/2022,237.050003
23/09/2022,226.410004
26/09/2022,224.070007
27/09/2022,224.360001
28/09/2022,245.199997
29/09/2022,239.710007
30/09/2022,235.440002
03/10/2022,239.039993
04/10/2022,240.740005
05/10/2022,236.729996
06/10/2022,240.020004
07/10/2022,224.75
10/10/2022,229.979996
11/10/2022,214.289993
12/10/2022,220.869995
13/10/2022,232.509995
14/10/2022,230
17/10/2022,245.100006
18/10/2022,240.860001
19/10/2022,272.380005
20/10/2022,268.160004
21/10/2022,289.570007
24/10/2022,282.450012
25/10/2022,291.019989
26/10/2022,298.619995
27/10/2022,296.940002
28/10/2022,295.720001
31/10/2022,291.880005
01/11/2022,286.75
02/11/2022,273
03/11/2022,269.059998
04/11/2022,260.790009
07/11/2022,258.600006
08/11/2022,263.459991
09/11/2022,254.660004
10/11/2022,274.970001
11/11/2022,290.130005
14/11/2022,299.269989
15/11/2022,310.200012
16/11/2022,306.019989
17/11/2022,295.279999
18/11/2022,287.980011
21/11/2022,285.049988
22/11/2022,286.690002
23/11/2022,291.5
25/11/2022,285.540009
28/11/2022,281.170013
29/11/2022,280.959991
30/11/2022,305.529999
01/12/2022,316.950012
02/12/2022,320.410004
05/12/2022,312.589996
06/12/2022,305.559998
07/12/2022,308.420013
08/12/2022,310.26001
09/12/2022,320.01001
12/12/2022,315.179993
13/12/2022,320.339996
14/12/2022,317.829987
15/12/2022,290.410004
16/12/2022,290.709991
19/12/2022,288.299988
20/12/2022,288.190002
21/12/2022,297.959991
22/12/2022,297.75
23/12/2022,294.959991
27/12/2022,284.170013
28/12/2022,276.880005
29/12/2022,291.119995
30/12/2022,294.880005
03/01/2023,294.950012
04/01/2023,309.410004
05/01/2023,309.700012
06/01/2023,315.549988
09/01/2023,315.170013
10/01/2023,327.540009
11/01/2023,327.26001
12/01/2023,330.130005
13/01/2023,332.820007
17/01/2023,326.220001
18/01/2023,326.329987
19/01/2023,315.779999
20/01/2023,342.5
23/01/2023,357.420013
24/01/2023,363.829987
25/01/2023,367.959991
26/01/2023,364.869995
27/01/2023,360.769989
30/01/2023,353.109985
31/01/2023,353.859985
01/02/2023,361.98999
02/02/2023,366.890015
03/02/2023,365.899994
06/02/2023,361.480011
07/02/2023,362.950012
08/02/2023,366.829987
09/02/2023,362.5
10/02/2023,347.359985
13/02/2023,358.570007
14/02/2023,359.959991
15/02/2023,361.420013
16/02/2023,350.709991
17/02/2023,347.959991
21/02/2023,337.5
22/02/2023,334.880005
23/02/2023,323.649994
24/02/2023,317.149994
27/02/2023,323.029999
28/02/2023,322.130005
01/03/2023,313.480011
02/03/2023,311.880005
03/03/2023,315.179993
06/03/2023,312.029999
07/03/2023,308.470001
08/03/2023,311.790009
09/03/2023,297.779999
10/03/2023,292.76001
13/03/2023,293.51001
14/03/2023,294.940002
15/03/2023,303.790009
16/03/2023,310.059998
17/03/2023,303.5
20/03/2023,305.130005
21/03/2023,305.790009
22/03/2023,293.899994
23/03/2023,320.369995
24/03/2023,328.390015
27/03/2023,327.660004
28/03/2023,323.519989
29/03/2023,332.029999
30/03/2023,338.429993
31/03/2023,345.480011
03/04/2023,348.279999
04/04/2023,346.75
05/04/2023,342.350006
06/04/2023,339.329987
10/04/2023,338.98999
11/04/2023,338.209991
12/04/2023,331.029999
13/04/2023,346.190002
14/04/2023,338.630005
17/04/2023,332.720001
18/04/2023,333.700012
19/04/2023,323.119995
20/04/2023,325.350006
21/04/2023,327.980011
24/04/2023,329.019989
25/04/2023,322.549988
26/04/2023,321.149994
27/04/2023,325.850006
28/04/2023,329.929993
01/05/2023,324.119995
02/05/2023,317.549988
03/05/2023,319.299988
04/05/2023,320.779999
05/05/2023,322.76001
08/05/2023,331.209991
09/05/2023,332.140015
10/05/2023,335.420013
11/05/2023,344.76001
12/05/2023,339.890015
15/05/2023,335.890015
16/05/2023,333.75
17/05/2023,339.959991
18/05/2023,371.290009
19/05/2023,365.359985
22/05/2023,363.01001
23/05/2023,355.98999
24/05/2023,364.850006
25/05/2023,359
26/05/2023,378.880005
30/05/2023,392.980011
31/05/2023,395.230011
01/06/2023,403.130005
02/06/2023,400.470001
05/06/2023,403.540009
06/06/2023,399.290009
07/06/2023,399.769989
08/06/2023,409.369995
09/06/2023,420.019989
12/06/2023,423.970001
13/06/2023,435.730011
14/06/2023,440.859985
15/06/2023,445.269989
16/06/2023,431.959991
20/06/2023,434.700012
21/06/2023,424.450012
22/06/2023,422.480011
23/06/2023,424.019989
26/06/2023,415.940002
27/06/2023,417.079987
28/06/2023,429.839996
29/06/2023,428.23999
30/06/2023,440.48999
03/07/2023,441.440002
05/07/2023,445.899994
06/07/2023,438.839996
07/07/2023,438.100006
10/07/2023,441.709991
11/07/2023,440.209991
12/07/2023,444.049988
13/07/2023,450.380005
14/07/2023,441.910004
17/07/2023,450.049988
18/07/2023,474.799988
19/07/2023,477.589996
20/07/2023,437.420013
21/07/2023,427.5
24/07/2023,428.369995
25/07/2023,427.700012
26/07/2023,422.670013
27/07/2023,413.170013
28/07/2023,425.779999
31/07/2023,438.970001
01/08/2023,438.619995
02/08/2023,429.700012
03/08/2023,431
04/08/2023,431.600006
07/08/2023,440.76001
08/08/2023,438.299988
09/08/2023,428.899994
10/08/2023,429.980011
11/08/2023,421.660004
14/08/2023,427.779999
15/08/2023,423.700012
16/08/2023,415.450012
17/08/2023,403
18/08/2023,404.529999
21/08/2023,408.290009
22/08/2023,413.170013
23/08/2023,427.549988
24/08/2023,406.929993
25/08/2023,416.029999
28/08/2023,418.059998
29/08/2023,429.98999
30/08/2023,434.670013
31/08/2023,433.679993
01/09/2023,439.880005
05/09/2023,448.679993
06/09/2023,445.76001
07/09/2023,443.140015
08/09/2023,442.799988
11/09/2023,445.359985
12/09/2023,434.690002
13/09/2023,412.23999
14/09/2023,400.48999
15/09/2023,396.940002
18/09/2023,394.399994
19/09/2023,396.200012
20/09/2023,386.299988
21/09/2023,384.149994
22/09/2023,379.809998
25/09/2023,384.799988
26/09/2023,379.25
27/09/2023,377.589996
28/09/2023,376.359985
29/09/2023,377.600006
02/10/2023,380.329987
03/10/2023,376.75
04/10/2023,376.899994
05/10/2023,372.589996
06/10/2023,381.51001
09/10/2023,385.950012
10/10/2023,373.320007
11/10/2023,365.929993
12/10/2023,361.200012
13/10/2023,355.679993
16/10/2023,360.820007
17/10/2023,355.720001
18/10/2023,346.190002
19/10/2023,401.769989
20/10/2023,400.959991
23/10/2023,406.839996
24/10/2023,413.730011
25/10/2023,411.25
26/10/2023,403.540009
27/10/2023,397.869995
30/10/2023,410.079987
31/10/2023,411.690002
01/11/2023,420.190002
02/11/2023,424.709991
03/11/2023,432.359985
06/11/2023,434.73999
07/11/2023,434.609985
08/11/2023,436.649994
09/11/2023,435.149994
10/11/2023,447.23999
13/11/2023,444.619995
14/11/2023,448.649994
15/11/2023,461.940002
16/11/2023,466.950012
17/11/2023,465.910004
20/11/2023,474.470001
21/11/2023,474.950012
22/11/2023,478
24/11/2023,479.559998
27/11/2023,479.170013
28/11/2023,479
29/11/2023,477.190002
30/11/2023,473.970001
01/12/2023,465.73999
04/12/2023,453.899994
05/12/2023,455.149994
06/12/2023,446.730011
07/12/2023,452
08/12/2023,453.76001
11/12/2023,459.890015
12/12/2023,463
13/12/2023,479.980011
14/12/2023,469.829987
15/12/2023,472.059998
18/12/2023,486.119995
19/12/2023,495.019989
20/12/2023,489.269989
21/12/2023,491.609985
22/12/2023,486.76001
26/12/2023,491.190002
27/12/2023,491.790009
28/12/2023,490.51001
29/12/2023,486.880005
02/01/2024,468.5
03/01/2024,470.26001
04/01/2024,474.670013
05/01/2024,474.059998
08/01/2024,485.029999
09/01/2024,482.089996
10/01/2024,478.329987
11/01/2024,492.230011
12/01/2024,492.160004
16/01/2024,481.23999
17/01/2024,480.329987
18/01/2024,485.309998
19/01/2024,482.950012
22/01/2024,485.709991
23/01/2024,492.190002
24/01/2024,544.869995
25/01/2024,562
26/01/2024,570.419983
29/01/2024,575.789978
30/01/2024,562.849976
31/01/2024,564.109985
01/02/2024,567.51001
02/02/2024,564.640015
05/02/2024,562.059998
06/02/2024,555.880005
07/02/2024,559.299988
08/02/2024,558.530029
09/02/2024,561.320007
12/02/2024,557.849976
13/02/2024,554.52002
14/02/2024,579.330017
15/02/2024,593.460022
16/02/2024,583.950012
20/02/2024,575.130005
21/02/2024,573.349976
22/02/2024,588.469971
23/02/2024,583.559998
26/02/2024,587.650024
27/02/2024,601.669983
28/02/2024,596.47998
29/02/2024,602.919983
01/03/2024,619.340027
04/03/2024,615.830017
05/03/2024,598.5
06/03/2024,597.690002
07/03/2024,608.51001
08/03/2024,604.820007
11/03/2024,600.929993
12/03/2024,611.080017
13/03/2024,609.450012
14/03/2024,613.01001
