Date,DIS,AMZ
19/02/20,141.300003,2170.219971
20/02/20,140.369995,2153.100098
21/02/20,138.970001,2095.969971
24/02/20,133.009995,2009.290039
25/02/20,128.190002,1972.73999
26/02/20,123.360001,1979.589966
27/02/20,118.040001,1884.300049
28/02/20,117.650002,1883.75
02/03/20,119.980003,1953.949951
03/03/20,116.449997,1908.98999
04/03/20,119.18,1975.829956
05/03/20,113.980003,1924.030029
06/03/20,115.269997,1901.089966
09/03/20,104.349998,1800.609985
10/03/20,111.459999,1891.819946
11/03/20,105.510002,1820.859985
12/03/20,91.809998,1676.609985
13/03/20,102.519997,1785
16/03/20,95.010002,1689.150024
17/03/20,93.529999,1807.839966
18/03/20,88.800003,1830
19/03/20,94.93,1880.930054
20/03/20,85.980003,1846.089966
23/03/20,85.760002,1902.829956
24/03/20,98.120003,1940.099976
25/03/20,100.730003,1885.839966
26/03/20,105.360001,1955.48999
27/03/20,96.400002,1900.099976
30/03/20,99.800003,1963.949951
31/03/20,96.599998,1949.719971
01/04/20,94.919998,1907.699951
02/04/20,96.970001,1918.829956
03/04/20,93.879997,1906.589966
06/04/20,99.580002,1997.589966
07/04/20,101.239998,2011.599976
08/04/20,101.07,2043
09/04/20,104.5,2042.76001
13/04/20,103.5,2168.870117
14/04/20,106.029999,2283.320068
15/04/20,103.370003,2307.679932
16/04/20,102.019997,2408.189941
17/04/20,106.629997,2375
20/04/20,102.260002,2393.610107
21/04/20,100.540001,2328.120117
22/04/20,100.989998,2363.48999
23/04/20,101,2399.449951
24/04/20,101.190002,2410.219971
27/04/20,106.059998,2376
28/04/20,106.209999,2314.080078
29/04/20,112.25,2372.709961
30/04/20,108.150002,2474
01/05/20,105.5,2286.040039
04/05/20,103.18,2315.98999
05/05/20,101.059998,2317.800049
06/05/20,100.879997,2351.26001
07/05/20,105.57,2367.610107
08/05/20,109.160004,2379.610107
11/05/20,107.769997,2409
12/05/20,104.559998,2356.949951
13/05/20,102.919998,2367.919922
14/05/20,105.910004,2388.850098
15/05/20,109.050003,2409.780029
18/05/20,116.849998,2426.26001
19/05/20,114.370003,2449.330078
20/05/20,119.919998,2497.939941
21/05/20,117.830002,2446.73999
22/05/20,118.019997,2436.879883
26/05/20,120.949997,2421.860107
27/05/20,121.529999,2410.389893
28/05/20,116.75,2401.100098
29/05/20,117.300003,2442.370117
01/06/20,118.769997,2471.040039
02/06/20,118.75,2472.409912
03/06/20,122.18,2478.399902
04/06/20,123.690002,2460.600098
05/06/20,124.82,2483
08/06/20,127.279999,2524.060059
09/06/20,123.889999,2600.860107
10/06/20,122.18,2647.449951
11/06/20,112.639999,2557.959961
12/06/20,115.489998,2545.02002
15/06/20,117.080002,2572.679932
16/06/20,118.440002,2615.27002
17/06/20,117.650002,2640.97998
18/06/20,118.370003,2653.97998
19/06/20,114.349998,2675.01001
22/06/20,115.919998,2713.820068
23/06/20,116.589996,2764.409912
24/06/20,112.07,2734.399902
25/06/20,111.360001,2754.580078
26/06/20,109.099998,2692.870117
29/06/20,111.519997,2680.379883
30/06/20,111.510002,2758.820068
01/07/20,113.010002,2878.699951
02/07/20,112.18,2890.300049
06/07/20,114.43,3057.040039
07/07/20,113.629997,3000.120117
08/07/20,116.660004,3081.110107
09/07/20,116.809998,3182.629883
10/07/20,119.339996,3200
13/07/20,116.220001,3104
14/07/20,118.660004,3084
15/07/20,120.900002,3008.870117
16/07/20,119.43,2999.899902
17/07/20,118.650002,2961.969971
20/07/20,117.790001,3196.840088
21/07/20,118.620003,3138.290039
22/07/20,119.029999,3099.909912
23/07/20,118.120003,2986.550049
24/07/20,117.610001,3008.909912
27/07/20,116.309998,3055.209961
28/07/20,116.18,3000.330078
29/07/20,115.610001,3033.530029
30/07/20,115.660004,3051.879883
31/07/20,116.940002,3164.679932
03/08/20,116.349998,3111.889893
04/08/20,117.290001,3138.830078
05/08/20,127.610001,3205.030029
06/08/20,130.820007,3225
07/08/20,129.929993,3167.459961
10/08/20,128.789993,3148.159912
11/08/20,130.490005,3080.669922
12/08/20,131.789993,3162.23999
13/08/20,130.960007,3161.02002
14/08/20,130.529999,3148.02002
17/08/20,129.369995,3182.409912
18/08/20,128.919998,3312.48999
19/08/20,127.769997,3260.47998
20/08/20,128.119995,3297.370117
21/08/20,127.440002,3284.719971
24/08/20,130.690002,3307.459961
25/08/20,129.789993,3346.48999
26/08/20,132.179993,3441.850098
27/08/20,133.729996,3400
28/08/20,135.539993,3401.800049
31/08/20,131.869995,3450.959961
01/09/20,133.550003,3499.120117
02/09/20,135.389999,3531.449951
03/09/20,133.240005,3368
04/09/20,131.990005,3294.620117
08/09/20,134.199997,3149.840088
09/09/20,133.360001,3268.610107
10/09/20,133.220001,3175.110107
11/09/20,131.75,3116.219971
14/09/20,131.25,3102.969971
15/09/20,131.240005,3156.129883
16/09/20,132.089996,3078.100098
17/09/20,130.220001,3008.72998
18/09/20,128.630005,2954.909912
21/09/20,125.410004,2960.469971
22/09/20,127.209999,3128.98999
23/09/20,123.279999,2999.860107
24/09/20,122.489998,3019.790039
25/09/20,124,3095.129883
28/09/20,125.989998,3174.050049
29/09/20,125.400002,3144.879883
30/09/20,124.080002,3148.72998
01/10/20,123.309998,3221.26001
02/10/20,122.550003,3125
