Edad,Sexo,Trabajo,Vivienda,Cuenta_Ahorro,Cuenta_Corriente,Monto_Credito,Periodo_Meses,Tipo,Resultado
67,0,calificados,propia,NA,bajo,1169,6,radio/TV,1
22,1,calificados,propia,bajo,medio,5951,48,radio/TV,0
49,0,no_calificados_residentes,propia,bajo,NA,2096,12,educacion,1
45,0,calificados,familiar,bajo,bajo,7882,42,mobiliario,1
53,0,calificados,familiar,bajo,bajo,4870,24,automotriz,0
35,0,no_calificados_residentes,familiar,NA,NA,9055,36,educacion,1
53,0,calificados,propia,muy_alto,NA,2835,24,mobiliario,1
35,0,altamente_calificados,rentada,bajo,medio,6948,36,automotriz,1
61,0,no_calificados_residentes,propia,alto,NA,3059,12,radio/TV,1
28,0,altamente_calificados,propia,bajo,medio,5234,30,automotriz,0
25,1,calificados,rentada,bajo,medio,1295,12,automotriz,0
24,1,calificados,rentada,bajo,bajo,4308,48,trabajo,0
22,1,calificados,propia,bajo,medio,1567,12,radio/TV,1
60,0,no_calificados_residentes,propia,bajo,bajo,1199,24,automotriz,0
28,1,calificados,rentada,bajo,bajo,1403,15,automotriz,1
32,1,no_calificados_residentes,propia,intermedio,bajo,1282,24,radio/TV,0
53,0,calificados,propia,NA,NA,2424,24,radio/TV,1
25,0,calificados,propia,NA,bajo,8072,30,trabajo,1
44,1,altamente_calificados,familiar,bajo,medio,12579,24,automotriz,0
31,0,calificados,propia,muy_alto,NA,3430,24,radio/TV,1
48,0,calificados,propia,bajo,NA,2134,9,automotriz,1
44,0,calificados,rentada,muy_alto,bajo,2647,6,radio/TV,1
48,0,no_calificados_residentes,rentada,bajo,bajo,2241,10,automotriz,1
44,0,calificados,propia,intermedio,medio,1804,12,automotriz,1
26,0,calificados,propia,NA,NA,2069,10,mobiliario,1
36,0,no_calificados_residentes,propia,bajo,bajo,1374,6,mobiliario,1
39,0,no_calificados_residentes,propia,bajo,NA,426,6,radio/TV,1
42,1,calificados,rentada,alto,alto,409,12,radio/TV,1
34,0,calificados,propia,bajo,medio,2415,7,radio/TV,1
63,0,calificados,propia,bajo,bajo,6836,60,trabajo,0
36,0,calificados,propia,alto,medio,1913,18,trabajo,1
27,0,calificados,propia,bajo,bajo,4020,24,mobiliario,1
30,0,calificados,propia,intermedio,medio,5866,18,automotriz,1
57,0,no_calificados_residentes,rentada,NA,NA,1264,12,trabajo,1
33,1,altamente_calificados,propia,bajo,alto,1474,12,mobiliario,1
25,0,no_calificados_residentes,propia,bajo,medio,4746,45,radio/TV,0
31,0,calificados,familiar,bajo,NA,6110,48,educacion,1
37,0,calificados,propia,bajo,alto,2100,18,radio/TV,0
37,0,calificados,propia,bajo,alto,1225,10,uso_domestico,1
24,0,calificados,propia,bajo,medio,458,9,radio/TV,1
30,0,altamente_calificados,propia,muy_alto,NA,2333,30,radio/TV,1
26,0,calificados,propia,muy_alto,medio,1158,12,radio/TV,1
44,0,no_calificados_residentes,propia,bajo,medio,6204,18,reparaciones,1
24,0,calificados,rentada,intermedio,bajo,6187,30,automotriz,1
58,1,no_calificados_residentes,familiar,bajo,bajo,6143,48,automotriz,0
35,1,altamente_calificados,propia,bajo,NA,1393,11,automotriz,1
39,0,calificados,propia,muy_alto,NA,2299,36,radio/TV,1
23,1,no_calificados_no_residentes,rentada,muy_alto,bajo,1352,6,automotriz,1
39,0,no_calificados_residentes,propia,bajo,NA,7228,11,automotriz,1
28,1,calificados,propia,intermedio,NA,2073,12,radio/TV,1
29,0,no_calificados_residentes,propia,NA,medio,2333,24,mobiliario,1
30,0,altamente_calificados,propia,bajo,medio,5965,27,automotriz,1
