const,TV,radio
1.0,230.1,37.8
1.0,44.5,39.3
1.0,17.2,45.9
1.0,151.5,41.3
1.0,180.8,10.8
1.0,8.7,48.9
1.0,57.5,32.8
1.0,120.2,19.6
1.0,8.6,2.1
1.0,199.8,2.6
1.0,66.1,5.8
1.0,214.7,24.0
1.0,23.8,35.1
1.0,97.5,7.6
1.0,204.1,32.9
1.0,195.4,47.7
1.0,67.8,36.6
1.0,281.4,39.6
1.0,69.2,20.5
1.0,147.3,23.9
1.0,218.4,27.7
1.0,237.4,5.1
1.0,13.2,15.9
1.0,228.3,16.9
1.0,62.3,12.6
1.0,262.9,3.5
1.0,142.9,29.3
1.0,240.1,16.7
1.0,248.8,27.1
1.0,70.6,16.0
1.0,292.9,28.3
1.0,112.9,17.4
1.0,97.2,1.5
1.0,265.6,20.0
1.0,95.7,1.4
1.0,290.7,4.1
1.0,266.9,43.8
1.0,74.7,49.4
1.0,43.1,26.7
1.0,228.0,37.7
1.0,202.5,22.3
1.0,177.0,33.4
1.0,293.6,27.7
1.0,206.9,8.4
1.0,25.1,25.7
1.0,175.1,22.5
1.0,89.7,9.9
1.0,239.9,41.5
1.0,227.2,15.8
1.0,66.9,11.7
1.0,199.8,3.1
1.0,100.4,9.6
1.0,216.4,41.7
1.0,182.6,46.2
1.0,262.7,28.8
1.0,198.9,49.4
1.0,7.3,28.1
1.0,136.2,19.2
1.0,210.8,49.6
1.0,210.7,29.5
1.0,53.5,2.0
1.0,261.3,42.7
1.0,239.3,15.5
1.0,102.7,29.6
1.0,131.1,42.8
1.0,69.0,9.3
1.0,31.5,24.6
1.0,139.3,14.5
1.0,237.4,27.5
1.0,216.8,43.9
1.0,199.1,30.6
1.0,109.8,14.3
1.0,26.8,33.0
1.0,129.4,5.7
1.0,213.4,24.6
1.0,16.9,43.7
1.0,27.5,1.6
1.0,120.5,28.5
1.0,5.4,29.9
1.0,116.0,7.7
1.0,76.4,26.7
1.0,239.8,4.1
1.0,75.3,20.3
1.0,68.4,44.5
1.0,213.5,43.0
1.0,193.2,18.4
1.0,76.3,27.5
1.0,110.7,40.6
1.0,88.3,25.5
1.0,109.8,47.8
1.0,134.3,4.9
1.0,28.6,1.5
1.0,217.7,33.5
1.0,250.9,36.5
1.0,107.4,14.0
1.0,163.3,31.6
1.0,197.6,3.5
1.0,184.9,21.0
1.0,289.7,42.3
1.0,135.2,41.7
1.0,222.4,4.3
1.0,296.4,36.3
1.0,280.2,10.1
1.0,187.9,17.2
1.0,238.2,34.3
1.0,137.9,46.4
1.0,25.0,11.0
1.0,90.4,0.3
1.0,13.1,0.4
1.0,255.4,26.9
1.0,225.8,8.2
1.0,241.7,38.0
1.0,175.7,15.4
1.0,209.6,20.6
1.0,78.2,46.8
1.0,75.1,35.0
1.0,139.2,14.3
1.0,76.4,0.8
1.0,125.7,36.9
1.0,19.4,16.0
1.0,141.3,26.8
1.0,18.8,21.7
1.0,224.0,2.4
1.0,123.1,34.6
1.0,229.5,32.3
1.0,87.2,11.8
1.0,7.8,38.9
1.0,80.2,0.0
1.0,220.3,49.0
1.0,59.6,12.0
1.0,0.7,39.6
1.0,265.2,2.9
1.0,8.4,27.2
1.0,219.8,33.5
1.0,36.9,38.6
1.0,48.3,47.0
1.0,25.6,39.0
1.0,273.7,28.9
1.0,43.0,25.9
1.0,184.9,43.9
1.0,73.4,17.0
1.0,193.7,35.4
1.0,220.5,33.2
1.0,104.6,5.7
1.0,96.2,14.8
1.0,140.3,1.9
1.0,240.1,7.3
1.0,243.2,49.0
1.0,38.0,40.3
1.0,44.7,25.8
1.0,280.7,13.9
1.0,121.0,8.4
1.0,197.6,23.3
1.0,171.3,39.7
1.0,187.8,21.1
1.0,4.1,11.6
1.0,93.9,43.5
1.0,149.8,1.3
1.0,11.7,36.9
1.0,131.7,18.4
1.0,172.5,18.1
1.0,85.7,35.8
1.0,188.4,18.1
1.0,163.5,36.8
1.0,117.2,14.7
1.0,234.5,3.4
1.0,17.9,37.6
1.0,206.8,5.2
1.0,215.4,23.6
1.0,284.3,10.6
1.0,50.0,11.6
1.0,164.5,20.9
1.0,19.6,20.1
1.0,168.4,7.1
1.0,222.4,3.4
1.0,276.9,48.9
1.0,248.4,30.2
1.0,170.2,7.8
1.0,276.7,2.3
1.0,165.6,10.0
1.0,156.6,2.6
1.0,218.5,5.4
1.0,56.2,5.7
1.0,287.6,43.0
1.0,253.8,21.3
1.0,205.0,45.1
1.0,139.5,2.1
1.0,191.1,28.7
1.0,286.0,13.9
1.0,18.7,12.1
1.0,39.5,41.1
1.0,75.5,10.8
1.0,17.2,4.1
1.0,166.8,42.0
1.0,149.7,35.6
1.0,38.2,3.7
1.0,94.2,4.9
1.0,177.0,9.3
1.0,283.6,42.0
1.0,232.1,8.6
