ENT,Entidad,MUN,Municipio,Alf,Asi,EBC,Der,Pis,San,Agu,Dre,Ele,Lav,Ref,Ing
1,Aguascalientes,1,Aguascalientes,0.979429979,0.965213875,0.736254847,0.854027649,0.994515658,0.990516388,0.993364945,0.99517569,0.997807132,0.862769875,0.946880482,15862.25126
1,Aguascalientes,3,Calvillo,0.952195046,0.956094237,0.506709845,0.903322842,0.989411266,0.987364111,0.99047014,0.991317238,0.994282084,0.845333898,0.927220104,12184.69758
1,Aguascalientes,5,Jesús María,0.96755481,0.958702917,0.659969914,0.859433418,0.990787879,0.986909091,0.990545455,0.992727273,0.995012987,0.84595671,0.919168831,23820.5879
1,Aguascalientes,7,Rincón de Romos,0.964913264,0.977330663,0.675957895,0.891799783,0.990750593,0.967422444,0.984202341,0.973970697,0.991978391,0.782434313,0.885569289,8753.306699
2,Baja California,1,Ensenada,0.964393416,0.966218661,0.659610866,0.861970539,0.985564528,0.853392832,0.926632668,0.911708457,0.985925769,0.79598385,0.912955093,14037.23085
2,Baja California,2,Mexicali,0.984578542,0.969540827,0.729535157,0.845247757,0.991814264,0.95104406,0.987066812,0.966743724,0.992220794,0.864167077,0.965920327,17977.19603
2,Baja California,3,Tecate,0.976899557,0.978567302,0.656978312,0.88554307,0.986359732,0.941728225,0.933344786,0.977048617,0.98179007,0.836007559,0.936505755,11688.37304
2,Baja California,4,Tijuana,0.983179613,0.969698077,0.696693366,0.788261306,0.985924995,0.977221936,0.981746346,0.985149141,0.996268311,0.781048921,0.940512232,15226.88278
3,Baja California Sur,1,Comondú,0.949891149,0.971391417,0.602667319,0.908039095,0.964272353,0.893191171,0.954592218,0.943181818,0.970071081,0.695332959,0.889824168,12948.72226
3,Baja California Sur,2,Mulegé,0.949939909,0.957933653,0.561663535,0.91177874,0.979658035,0.852053439,0.972290945,0.846170763,0.979438122,0.644675353,0.822969927,11708.52527
3,Baja California Sur,3,La Paz,0.981515335,0.980393622,0.76822399,0.869269522,0.983200473,0.970260133,0.962095539,0.983899951,0.986311943,0.73253416,0.937300257,18263.85187
3,Baja California Sur,8,Los Cabos,0.980550469,0.976799622,0.696659404,0.824955206,0.934416672,0.984531415,0.885864913,0.990063884,0.989133536,0.638677665,0.905414625,14535.42808
4,Campeche,1,Calkiní,0.889733749,0.98151205,0.610005535,0.9006611,0.972472543,0.810757533,0.953745424,0.809349479,0.986693889,0.672416221,0.689101662,8662.481451
4,Campeche,2,Campeche,0.960369508,0.983016239,0.719977429,0.898168622,0.988857868,0.973117397,0.990222211,0.977879963,0.992496115,0.815068407,0.918442628,14577.0452
4,Campeche,3,Carmen,0.959402759,0.948829614,0.689533637,0.836545432,0.97708289,0.981365667,0.894192725,0.984499752,0.987733106,0.806523435,0.886662412,20564.96956
4,Campeche,4,Champotón,0.900215622,0.961000504,0.541069121,0.891197578,0.959591364,0.881876086,0.954586814,0.890809827,0.975349491,0.730292001,0.766812805,9643.013021
4,Campeche,9,Escárcega,0.905160252,0.959069767,0.535869054,0.918773493,0.951353093,0.908505155,0.972873711,0.900064433,0.974033505,0.663079897,0.763466495,12178.21796
4,Campeche,11,Candelaria,0.872915805,0.925040425,0.47460668,0.890717441,0.858861198,0.78876774,0.836188993,0.809622707,0.904032537,0.536604361,0.626687435,9514.217406
5,Coahuila de Zaragoza,2,Acuña,0.982724028,0.954359647,0.632247691,0.893981579,0.992045427,0.974569841,0.987492963,0.988912549,0.988520939,0.826394498,0.950730597,11964.44421
5,Coahuila de Zaragoza,18,Monclova,0.98666918,0.979590709,0.75773986,0.89810422,0.996724195,0.977903485,0.987730899,0.988110043,0.996724195,0.87128818,0.978221966,13357.19692
5,Coahuila de Zaragoza,24,Parras,0.95822036,0.972521693,0.674361827,0.902424688,0.98426857,0.889636717,0.933425235,0.915909828,0.992945183,0.748459293,0.916234187,8818.678911
5,Coahuila de Zaragoza,25,Piedras Negras,0.985239981,0.954296289,0.703092656,0.866530418,0.990148002,0.971509086,0.989615461,0.986841813,0.995584352,0.846828056,0.953868684,10933.03204
5,Coahuila de Zaragoza,27,Ramos Arizpe,0.980069618,0.974878345,0.761378032,0.885573991,0.994467173,0.95534775,0.982933957,0.983206702,0.99345412,0.815819209,0.942061173,8654.563971
5,Coahuila de Zaragoza,30,Saltillo,0.984636268,0.979474731,0.774922392,0.867029034,0.994879826,0.985605371,0.981010344,0.989951893,0.996703771,0.886826336,0.9618894,37757.39439
5,Coahuila de Zaragoza,32,San Juan de Sabinas,0.983810439,0.96552795,0.670646331,0.947949727,0.992152639,0.943760579,0.99153716,0.960763194,0.992845053,0.894522234,0.963686721,10416.61576
5,Coahuila de Zaragoza,35,Torreón,0.985245245,0.966354144,0.746646946,0.786696897,0.992584293,0.988941581,0.993444161,0.992026682,0.998269842,0.831210589,0.953530669,12558.33619
6,Colima,1,Armería,0.913175644,0.945436309,0.453422053,0.926935333,0.941227206,0.97104485,0.966239527,0.979916215,0.991375062,0.669541646,0.866559882,8237.956307
6,Colima,2,Colima,0.971476235,0.973167293,0.718262691,0.861157191,0.981728373,0.991935131,0.990645627,0.994514141,0.991782139,0.791471784,0.951720068,14583.03754
6,Colima,7,Manzanillo,0.969761919,0.959221811,0.676111938,0.86179914,0.984835544,0.991990738,0.988574465,0.991155649,0.996052307,0.7463797,0.933857162,18574.50977
6,Colima,9,Tecomán,0.926896568,0.928461646,0.51677767,0.880676381,0.949783361,0.987001652,0.983978056,0.993547583,0.990679842,0.589071413,0.85012936,9686.76855
6,Colima,10,Villa de Álvarez,0.982947161,0.974878635,0.794278729,0.87086849,0.990440043,0.995635156,0.996702645,0.998505515,0.997058475,0.800972601,0.962851382,18217.93241
7,Chiapas,65,Palenque,0.83764198,0.957084331,0.486317496,0.841877509,0.919888053,0.872170719,0.927829281,0.89204128,0.983627777,0.374741998,0.652160224,8211.372155
7,Chiapas,75,Las Rosas,0.742632613,0.862419044,0.264643237,0.901735711,0.774297897,0.91648287,0.732980444,0.947213645,0.978238494,0.419497133,0.538303191,3316.024563
7,Chiapas,78,San Cristóbal de las Casas,0.899921974,0.931491184,0.588695939,0.742728759,0.928493535,0.925105157,0.975677676,0.957878953,0.994781119,0.43254401,0.600229787,3669.058121
7,Chiapas,89,Tapachula,0.934432444,0.956882501,0.625974897,0.757539208,0.945686624,0.96249662,0.904700092,0.976126345,0.988901509,0.53601601,0.844372329,11651.39475
7,Chiapas,101,Tuxtla Gutiérrez,0.957134353,0.952179932,0.729908348,0.76843934,0.979982887,0.993835604,0.926095945,0.994541355,0.997445554,0.700617689,0.915778232,13900.48581
8,Chihuahua,17,Cuauhtémoc,0.976731219,0.944753631,0.575210761,0.884921491,0.996661803,0.962940012,0.991204749,0.978331701,0.995662342,0.879625002,0.954064805,13801.76702
8,Chihuahua,19,Chihuahua,0.990116646,0.976631933,0.777803125,0.919185486,0.995013243,0.989890276,0.990136209,0.994090049,0.998274688,0.901906924,0.979784336,16485.23597
8,Chihuahua,21,Delicias,0.980359916,0.980495001,0.693687178,0.898528,0.997124772,0.991151429,0.994739892,0.996300094,0.997659698,0.888044399,0.976730709,11310.64932
8,Chihuahua,32,Hidalgo del Parral,0.981704085,0.965820759,0.692542629,0.921331979,0.986981552,0.988617035,0.993850582,0.993000131,0.996336517,0.85964281,0.969449169,9736.688643
8,Chihuahua,37,Juárez,0.985616845,0.965642143,0.697497478,0.858624467,0.99183281,0.987707351,0.986656958,0.993448995,0.997069554,0.85090755,0.964931065,11870.21375
9,Distrito Federal,2,Azcapotzalco,0.98582912,0.968763464,0.790017932,0.844904335,0.997578245,0.993104724,0.998368679,0.999722507,0.998116412,0.854400363,0.957762231,24544.28994
9,Distrito Federal,3,Coyoacán,0.990376129,0.987662924,0.842536539,0.801059654,0.998566697,0.990009824,0.999350451,0.99847007,0.999065937,0.866192836,0.964757922,25574.19985
9,Distrito Federal,4,Cuajimalpa de Morelos,0.983598709,0.97886854,0.795562393,0.800668085,0.993289922,0.988257364,0.995382312,0.998394632,0.997330399,0.843485633,0.901152618,19113.06309
