title,vote_average,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_Foreign,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science Fiction,genre_TV Movie,genre_Thriller,genre_War,genre_Western
Avatar,7.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PiratesoftheCaribbeanAtWorldsEnd,6.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spectre,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheDarkKnightRises,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JohnCarter,6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpiderMan3,5.9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Tangled,7.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AvengersAgeofUltron,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HarryPotterandtheHalfBloodPrince,7.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BatmanvSupermanDawnofJustice,5.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SupermanReturns,5.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
QuantumofSolace,6.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PiratesoftheCaribbeanDeadMansChest,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheLoneRanger,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ManofSteel,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheChroniclesofNarniaPrinceCaspian,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheAvengers,7.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
PiratesoftheCaribbeanOnStrangerTides,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MeninBlack3,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheHobbitTheBattleoftheFiveArmies,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheAmazingSpiderMan,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RobinHood,6.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheHobbitTheDesolationofSmaug,7.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheGoldenCompass,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KingKong,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Titanic,7.5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CaptainAmericaCivilWar,7.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Battleship,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
JurassicWorld,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Skyfall,6.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SpiderMan2,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IronMan3,6.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AliceinWonderland,6.4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
XMenTheLastStand,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MonstersUniversity,7.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TransformersRevengeoftheFallen,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TransformersAgeofExtinction,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OzTheGreatandPowerful,5.7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TheAmazingSpiderMan2,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TRONLegacy,6.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cars2,5.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GreenLantern,5.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ToyStory3,7.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TerminatorSalvation,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Furious7,7.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WorldWarZ,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMenDaysofFuturePast,7.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StarTrekIntoDarkness,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JacktheGiantSlayer,5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheGreatGatsby,7.3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PrinceofPersiaTheSandsofTime,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PacificRim,6.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TransformersDarkoftheMoon,6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndianaJonesandtheKingdomoftheCrystalSkull,5.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheGoodDinosaur,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brave,6.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
StarTrekBeyond,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WALLE,7.8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RushHour3,6.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,5.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AChristmasCarol,6.6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JupiterAscending,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TheLegendofTarzan,5.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheChroniclesofNarniaTheLiontheWitchandtheWardrobe,6.7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XMenApocalypse,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TheDarkKnight,8.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Up,7.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MonstersvsAliens,6.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IronMan,7.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WildWildWest,5.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheMummyTomboftheDragonEmperor,5.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SuicideSquad,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EvanAlmighty,5.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
EdgeofTomorrow,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waterworld,5.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GIJoeTheRiseofCobra,5.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
InsideOut,8.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
TheJungleBook,6.7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IronMan2,6.6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SnowWhiteandtheHuntsman,5.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maleficent,7.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DawnofthePlanetoftheApes,7.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
TheLovers,4.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47Ronin,5.9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CaptainAmericaTheWinterSoldier,7.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShrekForeverAfter,6.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tomorrowland,6.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BigHero6,7.8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WreckItRalph,7.1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ThePolarExpress,6.4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IndependenceDayResurgence,4.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HowtoTrainYourDragon,7.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Terminator3RiseoftheMachines,5.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GuardiansoftheGalaxy,7.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Interstellar,8.1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Inception,8.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ShinGodzilla,6.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheHobbitAnUnexpectedJourney,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheFastandtheFurious,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheCuriousCaseofBenjaminButton,7.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
XMenFirstClass,7.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheHungerGamesMockingjayPart2,6.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TheSorcerersApprentice,5.8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Poseidon,5.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AliceThroughtheLookingGlass,6.5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
ShrektheThird,6.0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Warcraft,6.3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TerminatorGenisys,5.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
